iter	Passed	Remaining
0	3	315
1	5	274
2	7	252
3	9	238
4	11	227
5	14	222
6	17	233
7	19	229
8	22	225
9	24	222
10	27	218
11	28	212
12	32	217
13	35	216
14	37	211
15	39	205
16	41	201
17	43	197
18	46	196
19	48	195
20	51	192
21	53	188
22	55	185
23	57	181
24	59	178
25	61	175
26	64	174
27	66	170
28	68	167
29	70	164
30	72	161
31	74	158
32	77	157
33	79	155
34	81	152
35	83	149
36	85	146
37	87	143
38	89	140
39	92	138
40	95	136
41	96	132
42	97	129
43	100	127
44	102	125
45	104	122
46	106	120
47	109	118
48	111	115
49	113	113
50	115	110
51	117	108
52	119	105
53	122	104
54	124	101
55	126	99
56	128	96
57	130	94
58	132	92
59	135	90
60	137	87
61	139	85
62	141	83
63	143	80
64	145	78
65	147	75
66	149	73
67	151	71
68	154	69
69	156	67
70	158	64
71	160	62
72	162	60
73	164	57
74	167	55
75	169	53
76	171	51
77	173	48
78	175	46
79	177	44
80	180	42
81	182	40
82	184	37
83	186	35
84	188	33
85	190	31
86	192	28
87	194	26
88	197	24
89	199	22
90	201	19
91	203	17
92	205	15
93	207	13
94	209	11
95	211	8
96	213	6
97	215	4
98	217	2
99	219	0
