iter	Passed	Remaining
0	102	102544
1	104	52148
2	106	35396
3	108	27049
4	110	22030
5	112	18642
6	115	16328
7	117	14508
8	118	13101
9	120	11965
10	122	11044
11	124	10263
12	126	9616
13	129	9100
14	131	8617
15	133	8192
16	135	7827
17	137	7488
18	139	7183
19	141	6912
20	143	6686
21	145	6460
22	147	6256
23	149	6064
24	150	5885
25	152	5725
26	154	5573
27	157	5450
28	159	5326
29	161	5209
30	162	5092
31	164	4981
32	166	4881
33	168	4782
34	170	4696
35	172	4622
36	174	4541
37	176	4470
38	178	4400
39	180	4331
40	182	4264
41	184	4202
42	186	4154
43	188	4096
44	190	4038
45	192	3985
46	193	3932
47	195	3882
48	197	3834
49	199	3794
50	202	3758
51	204	3720
52	205	3680
53	207	3643
54	209	3603
55	211	3567
56	213	3537
57	216	3514
58	218	3482
59	220	3451
60	222	3420
61	224	3388
62	225	3360
63	227	3330
64	229	3307
65	231	3280
66	233	3256
67	235	3230
68	237	3204
69	239	3179
70	241	3156
71	243	3136
72	245	3117
73	247	3097
74	249	3077
75	251	3054
76	252	3032
77	254	3012
78	256	2992
79	258	2974
80	260	2959
81	262	2940
82	263	2913
83	265	2895
84	267	2878
85	269	2861
86	271	2844
87	273	2830
88	275	2816
89	277	2803
90	279	2787
91	280	2772
92	282	2758
93	284	2743
94	286	2731
95	288	2719
96	290	2708
97	292	2694
98	294	2680
99	296	2666
100	298	2654
101	300	2642
102	301	2629
103	303	2618
104	306	2609
105	308	2599
106	310	2587
107	311	2575
108	313	2564
109	315	2553
110	317	2544
111	320	2537
112	322	2527
113	324	2518
114	325	2508
115	327	2498
116	329	2486
117	331	2476
118	333	2468
119	335	2461
120	337	2452
121	339	2440
122	341	2431
123	342	2422
124	344	2413
125	346	2404
126	348	2397
127	350	2391
128	353	2383
129	355	2378
130	357	2372
131	359	2367
132	363	2370
133	366	2367
134	368	2361
135	370	2354
136	372	2346
137	374	2340
138	376	2332
139	379	2331
140	382	2329
141	383	2318
142	385	2310
143	387	2303
144	389	2296
145	391	2289
146	393	2283
147	397	2285
148	399	2280
149	401	2273
150	403	2266
151	404	2259
152	406	2252
153	409	2248
154	412	2247
155	414	2243
156	416	2237
157	418	2229
158	420	2223
159	422	2220
160	424	2213
161	427	2211
162	429	2205
163	431	2198
164	433	2192
165	435	2186
166	437	2180
167	439	2178
168	442	2174
169	444	2169
170	446	2163
171	448	2157
172	449	2151
173	452	2146
174	454	2143
175	457	2140
176	459	2134
177	460	2128
178	462	2123
179	464	2117
180	466	2112
181	469	2110
182	472	2107
183	474	2102
184	476	2097
185	477	2091
186	479	2086
187	481	2080
188	484	2077
189	487	2076
190	489	2071
191	491	2068
192	493	2063
193	495	2058
194	497	2053
195	501	2055
196	503	2052
197	505	2048
198	508	2048
199	510	2043
200	513	2040
201	516	2038
202	518	2035
203	520	2029
204	521	2024
205	523	2018
206	525	2014
207	528	2010
208	531	2011
209	533	2007
210	535	2002
211	537	1997
212	539	1992
213	541	1987
214	543	1984
215	546	1981
216	548	1977
217	549	1972
218	551	1968
219	553	1963
220	555	1958
221	557	1954
222	560	1953
223	562	1949
224	564	1944
225	566	1940
226	568	1935
227	570	1931
228	573	1929
229	575	1926
230	577	1922
231	579	1917
232	581	1913
233	583	1908
234	584	1903
235	587	1900
236	590	1900
237	592	1896
238	594	1891
239	595	1886
240	597	1882
241	599	1877
242	601	1874
243	605	1875
244	607	1872
245	609	1867
246	611	1863
247	613	1859
248	615	1855
249	618	1855
250	621	1853
251	623	1849
252	625	1845
253	627	1841
254	628	1837
255	630	1833
256	633	1830
257	635	1828
258	637	1825
259	639	1821
260	641	1817
261	643	1813
262	645	1809
263	649	1810
264	651	1807
265	653	1803
266	655	1799
267	657	1795
268	659	1791
269	661	1787
270	663	1784
271	665	1782
272	667	1778
273	669	1774
274	671	1770
275	673	1766
276	675	1762
277	677	1759
278	680	1757
279	682	1754
280	683	1750
281	685	1745
282	687	1741
283	689	1738
284	691	1734
285	693	1731
286	695	1728
287	697	1725
288	699	1721
289	701	1718
290	703	1714
291	705	1710
292	708	1708
293	709	1704
294	712	1701
295	714	1698
296	716	1694
297	717	1691
298	719	1687
299	721	1684
300	724	1681
301	726	1678
302	728	1674
303	729	1671
304	731	1667
305	733	1663
306	735	1660
307	737	1656
308	740	1655
309	742	1652
310	744	1650
311	746	1647
312	749	1644
313	751	1640
314	754	1640
315	756	1638
316	759	1635
317	760	1631
318	762	1628
319	764	1625
320	767	1622
321	769	1620
322	771	1616
323	773	1613
324	775	1610
325	777	1607
326	779	1603
327	781	1601
328	784	1599
329	785	1595
330	787	1592
331	789	1589
332	791	1585
333	793	1582
334	795	1579
335	797	1576
336	800	1574
337	802	1571
338	804	1567
339	805	1564
340	807	1561
341	809	1557
342	811	1554
343	813	1551
344	815	1548
345	817	1545
346	819	1541
347	821	1538
348	822	1535
349	824	1531
350	827	1529
351	829	1527
352	831	1523
353	833	1520
354	835	1517
355	837	1514
356	839	1511
357	841	1508
358	843	1505
359	844	1502
360	847	1499
361	848	1496
362	850	1493
363	852	1490
364	855	1487
365	857	1485
366	859	1482
367	861	1479
368	863	1476
369	865	1473
370	867	1470
371	869	1467
372	871	1465
373	874	1463
374	876	1460
375	878	1457
376	880	1454
377	882	1451
378	884	1448
379	886	1446
380	889	1444
381	890	1441
382	892	1438
383	894	1435
384	896	1432
385	898	1429
386	900	1426
387	902	1424
388	904	1421
389	907	1418
390	909	1415
391	911	1413
392	913	1410
393	914	1407
394	917	1404
395	919	1402
396	921	1399
397	923	1397
398	925	1394
399	927	1391
400	929	1388
401	932	1387
402	935	1385
403	936	1382
404	939	1379
405	941	1377
406	943	1374
407	945	1371
408	947	1369
409	949	1366
410	951	1364
411	953	1361
412	955	1358
413	957	1355
414	959	1352
415	961	1350
416	964	1347
417	966	1345
418	968	1342
419	969	1339
420	971	1336
421	973	1333
422	975	1330
423	978	1329
424	980	1326
425	982	1323
426	984	1321
427	986	1318
428	988	1315
429	990	1312
430	992	1310
431	994	1307
432	996	1305
433	998	1302
434	1000	1299
435	1001	1296
436	1003	1293
437	1005	1290
438	1008	1288
439	1010	1285
440	1012	1283
441	1014	1280
442	1016	1277
443	1017	1274
444	1019	1272
445	1021	1269
446	1024	1267
447	1026	1264
448	1027	1261
449	1029	1258
450	1031	1255
451	1033	1253
452	1035	1250
453	1037	1247
454	1039	1245
455	1041	1242
456	1043	1240
457	1045	1237
458	1047	1235
459	1049	1232
460	1051	1229
461	1053	1226
462	1055	1224
463	1057	1221
464	1059	1219
465	1061	1216
466	1063	1214
467	1065	1211
468	1069	1210
469	1071	1207
470	1073	1205
471	1075	1202
472	1076	1199
473	1078	1197
474	1080	1194
475	1082	1192
476	1084	1189
477	1086	1186
478	1088	1184
479	1090	1181
480	1092	1178
481	1094	1176
482	1096	1173
483	1098	1171
484	1100	1169
485	1102	1166
486	1104	1163
487	1106	1160
488	1108	1158
489	1110	1155
490	1112	1153
491	1114	1151
492	1116	1148
493	1118	1145
494	1120	1143
495	1122	1140
496	1124	1138
497	1127	1136
498	1129	1134
499	1131	1131
500	1133	1129
501	1135	1126
502	1137	1123
503	1139	1121
504	1141	1118
505	1143	1116
506	1145	1114
507	1147	1111
508	1149	1109
509	1151	1106
510	1153	1104
511	1155	1101
512	1158	1099
513	1160	1097
514	1163	1095
515	1165	1092
516	1167	1090
517	1169	1088
518	1171	1085
519	1175	1084
520	1177	1082
521	1179	1079
522	1181	1077
523	1183	1074
524	1185	1072
525	1187	1070
526	1190	1068
527	1192	1065
528	1194	1063
529	1196	1060
530	1198	1058
531	1200	1055
532	1202	1053
533	1204	1051
534	1206	1048
535	1208	1046
536	1210	1043
537	1212	1041
538	1214	1038
539	1216	1036
540	1218	1033
541	1220	1031
542	1222	1029
543	1224	1026
544	1226	1024
545	1228	1021
546	1230	1019
547	1233	1017
548	1235	1015
549	1237	1012
550	1239	1010
551	1241	1007
552	1243	1005
553	1245	1003
554	1248	1000
555	1250	998
556	1252	996
557	1254	994
558	1256	991
559	1258	989
560	1260	986
561	1263	984
562	1265	982
563	1267	980
564	1269	977
565	1271	975
566	1273	972
567	1275	969
568	1277	967
569	1279	965
570	1281	963
571	1283	960
572	1285	958
573	1287	955
574	1289	953
575	1291	950
576	1293	948
577	1295	946
578	1297	943
579	1299	941
580	1301	938
581	1303	936
582	1305	933
583	1307	931
584	1309	928
585	1311	926
586	1313	924
587	1315	921
588	1317	919
589	1319	916
590	1320	914
591	1322	911
592	1325	909
593	1327	907
594	1328	904
595	1330	902
596	1332	899
597	1334	897
598	1336	894
599	1338	892
600	1340	889
601	1342	887
602	1344	885
603	1346	882
604	1348	880
605	1350	877
606	1352	875
607	1354	873
608	1356	870
609	1358	868
610	1360	865
611	1362	863
612	1363	861
613	1365	858
614	1367	856
615	1370	854
616	1372	851
617	1374	849
618	1376	847
619	1378	844
620	1380	842
621	1382	840
622	1384	837
623	1386	835
624	1388	833
625	1390	830
626	1392	828
627	1393	825
628	1395	823
629	1398	821
630	1400	818
631	1401	816
632	1403	813
633	1405	811
634	1407	808
635	1409	806
636	1410	804
637	1413	801
638	1415	799
639	1417	797
640	1419	795
641	1421	792
642	1423	790
643	1425	787
644	1427	785
645	1429	783
646	1431	781
647	1433	778
648	1435	776
649	1437	773
650	1438	771
651	1440	769
652	1443	766
653	1445	764
654	1447	762
655	1449	759
656	1451	757
657	1452	755
658	1454	752
659	1456	750
660	1458	748
661	1460	745
662	1462	743
663	1464	741
664	1466	738
665	1468	736
666	1470	734
667	1472	731
668	1474	729
669	1476	726
670	1477	724
671	1479	722
672	1481	720
673	1483	717
674	1485	715
675	1487	712
676	1489	710
677	1491	708
678	1493	706
679	1495	703
680	1497	701
681	1499	698
682	1500	696
683	1503	694
684	1505	692
685	1507	689
686	1508	687
687	1510	685
688	1512	682
689	1514	680
690	1516	678
691	1518	675
692	1520	673
693	1522	671
694	1524	669
695	1526	666
696	1528	664
697	1529	661
698	1531	659
699	1533	657
700	1535	654
701	1537	652
702	1539	650
703	1541	648
704	1543	645
705	1545	643
706	1547	641
707	1549	639
708	1551	636
709	1553	634
710	1556	632
711	1558	630
712	1560	628
713	1562	625
714	1564	623
715	1566	621
716	1568	618
717	1570	616
718	1572	614
719	1573	612
720	1575	609
721	1577	607
722	1579	605
723	1582	603
724	1583	600
725	1585	598
726	1587	596
727	1589	593
728	1591	591
729	1593	589
730	1595	587
731	1597	584
732	1599	582
733	1600	580
734	1602	577
735	1604	575
736	1606	573
737	1608	571
738	1610	568
739	1612	566
740	1614	564
741	1616	562
742	1618	559
743	1620	557
744	1622	555
745	1624	553
746	1626	550
747	1628	548
748	1630	546
749	1632	544
750	1633	541
751	1635	539
752	1637	537
753	1639	534
754	1641	532
755	1643	530
756	1645	528
757	1647	525
758	1649	523
759	1651	521
760	1653	519
761	1655	517
762	1657	514
763	1659	512
764	1661	510
765	1663	508
766	1665	505
767	1667	503
768	1669	501
769	1671	499
770	1673	497
771	1675	494
772	1677	492
773	1679	490
774	1681	488
775	1683	486
776	1685	483
777	1687	481
778	1689	479
779	1691	477
780	1693	474
781	1695	472
782	1697	470
783	1699	468
784	1701	466
785	1703	463
786	1705	461
787	1707	459
788	1709	457
789	1711	454
790	1713	452
791	1715	450
792	1717	448
793	1719	446
794	1721	443
795	1723	441
796	1725	439
797	1727	437
798	1730	435
799	1732	433
800	1734	430
801	1736	428
802	1737	426
803	1739	424
804	1741	421
805	1744	419
806	1746	417
807	1747	415
808	1750	413
809	1751	410
810	1753	408
811	1755	406
812	1758	404
813	1760	402
814	1762	399
815	1764	397
816	1766	395
817	1768	393
818	1770	391
819	1772	389
820	1774	386
821	1776	384
822	1779	382
823	1781	380
824	1783	378
825	1784	376
826	1787	373
827	1789	371
828	1791	369
829	1793	367
830	1795	365
831	1797	363
832	1799	360
833	1801	358
834	1803	356
835	1806	354
836	1808	352
837	1810	349
838	1812	347
839	1814	345
840	1816	343
841	1818	341
842	1820	339
843	1822	336
844	1824	334
845	1826	332
846	1829	330
847	1830	328
848	1832	326
849	1835	323
850	1837	321
851	1839	319
852	1841	317
853	1843	315
854	1845	312
855	1847	310
856	1849	308
857	1851	306
858	1853	304
859	1856	302
860	1858	299
861	1860	297
862	1861	295
863	1864	293
864	1866	291
865	1868	289
866	1870	286
867	1872	284
868	1874	282
869	1876	280
870	1878	278
871	1880	276
872	1882	273
873	1884	271
874	1886	269
875	1888	267
876	1890	265
877	1892	263
878	1895	260
879	1897	258
880	1899	256
881	1901	254
882	1903	252
883	1905	250
884	1907	247
885	1909	245
886	1911	243
887	1913	241
888	1915	239
889	1917	236
890	1919	234
891	1921	232
892	1923	230
893	1925	228
894	1927	226
895	1929	223
896	1931	221
897	1933	219
898	1935	217
899	1937	215
900	1939	213
901	1941	210
902	1944	208
903	1946	206
904	1948	204
905	1951	202
906	1952	200
907	1955	198
908	1957	195
909	1959	193
910	1961	191
911	1963	189
912	1965	187
913	1967	185
914	1969	182
915	1972	180
916	1974	178
917	1975	176
918	1977	174
919	1979	172
920	1981	169
921	1983	167
922	1985	165
923	1987	163
924	1989	161
925	1991	159
926	1993	156
927	1995	154
928	1997	152
929	1999	150
930	2001	148
931	2003	146
932	2005	144
933	2007	141
934	2009	139
935	2011	137
936	2013	135
937	2016	133
938	2018	131
939	2020	128
940	2022	126
941	2024	124
942	2026	122
943	2028	120
944	2030	118
945	2032	116
946	2034	113
947	2036	111
948	2038	109
949	2040	107
950	2043	105
951	2046	103
952	2048	101
953	2050	98
954	2052	96
955	2054	94
956	2056	92
957	2058	90
958	2060	88
959	2062	85
960	2064	83
961	2066	81
962	2069	79
963	2071	77
964	2073	75
965	2075	73
